GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JoParis2024,com.pchab.JoParis2024.security.payload.response,TicketListResponse,0,25,0,0,0,8,0,1,0,1
JoParis2024,com.pchab.JoParis2024.security.payload.response,QRCodeResponse,0,5,0,0,0,1,0,1,0,1
JoParis2024,com.pchab.JoParis2024.security.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
JoParis2024,com.pchab.JoParis2024.security.payload.response,JwtResponse,12,25,0,0,6,9,3,4,3,4
JoParis2024,com.pchab.JoParis2024.security.payload.request,QRCodeRequest,0,3,0,0,0,1,0,1,0,1
JoParis2024,com.pchab.JoParis2024.security.payload.request,NewEventRequest,32,24,0,0,16,8,8,8,8,8
JoParis2024,com.pchab.JoParis2024.security.payload.request,PaymentRequest,9,0,0,0,3,0,3,0,3,0
JoParis2024,com.pchab.JoParis2024.security.payload.request,VerifyTicketKeyRequest,7,0,0,0,3,0,2,0,2,0
JoParis2024,com.pchab.JoParis2024.security.payload.request,SignUpRequest,0,22,0,0,0,6,0,4,0,4
JoParis2024,com.pchab.JoParis2024.security.payload.request,LoginRequest,0,16,0,0,0,4,0,2,0,2
JoParis2024,com.pchab.JoParis2024.security.payload.request,PutEventRequest,0,63,0,0,0,27,0,18,0,18
JoParis2024,com.pchab.JoParis2024.controller,UserController,7,91,1,7,2,22,1,7,0,4
JoParis2024,com.pchab.JoParis2024.controller,AuthController,4,143,2,10,1,35,2,8,0,4
JoParis2024,com.pchab.JoParis2024.controller,AdminController,0,165,0,0,0,37,0,4,0,4
JoParis2024,com.pchab.JoParis2024.controller,EventController,4,39,0,2,1,8,1,8,1,7
JoParis2024,com.pchab.JoParis2024.controller,TicketController,60,170,12,10,15,40,9,7,1,4
JoParis2024,com.pchab.JoParis2024,JoParis2024Application,5,3,0,0,2,1,1,1,1,1
JoParis2024,com.pchab.JoParis2024,ServletInitializer,12,0,0,0,2,0,2,0,2,0
JoParis2024,com.pchab.JoParis2024,SwaggerConfig,0,19,0,0,0,5,0,2,0,2
JoParis2024,com.pchab.JoParis2024.pojo,CityEnum,0,51,0,0,0,2,0,1,0,1
JoParis2024,com.pchab.JoParis2024.pojo,Ticket,0,3,0,0,0,1,0,1,0,1
JoParis2024,com.pchab.JoParis2024.pojo,User,0,24,0,0,0,10,0,2,0,2
JoParis2024,com.pchab.JoParis2024.pojo,SportEnum,0,87,0,0,0,2,0,1,0,1
JoParis2024,com.pchab.JoParis2024.pojo,Event,0,3,0,0,0,1,0,1,0,1
JoParis2024,com.pchab.JoParis2024.security.service,EncryptionService,62,3,0,0,13,1,2,1,2,1
JoParis2024,com.pchab.JoParis2024.security.service,UserDetailsServiceImpl,31,3,0,0,7,1,1,1,1,1
JoParis2024,com.pchab.JoParis2024.security.service,UserDetailsImpl,28,18,0,0,9,7,7,3,7,3
JoParis2024,com.pchab.JoParis2024.security.service,SecurityKey,15,3,0,0,4,1,1,1,1,1
JoParis2024,com.pchab.JoParis2024.security.config,WebSecurityConfig,0,194,0,0,0,30,0,10,0,10
JoParis2024,com.pchab.JoParis2024.service.impl,TicketServiceImpl,79,457,11,15,18,105,11,10,0,8
JoParis2024,com.pchab.JoParis2024.service.impl,EventServiceImpl,11,269,3,9,4,59,5,12,2,8
JoParis2024,com.pchab.JoParis2024.service.impl,UserServiceImpl,19,53,0,0,5,14,0,4,0,4
JoParis2024,com.pchab.JoParis2024.security.jwt,AuthEntryPointJWT,51,7,0,0,12,2,1,2,1,2
JoParis2024,com.pchab.JoParis2024.security.jwt,AuthTokenFilter,8,77,3,5,3,18,3,4,0,3
JoParis2024,com.pchab.JoParis2024.security.jwt,JwtUtils,16,88,0,0,6,22,0,6,0,6
JoParis2024,com.pchab.JoParis2024.config,EnvironmentLogger,0,19,0,0,0,5,0,2,0,2
JoParis2024,com.pchab.JoParis2024.config,DotenvInitializer,0,21,0,0,0,7,0,3,0,3
